card_id,rank_corpus,verbo,verbo_base,tiempo_id,tiempo,regularidad_tarjeta,terminacion,pronominal,patrones,aplicable,yo,tu,el_ella_usted,nosotros,ellos_ellas_ustedes,nota
estar__imperfecto_subjuntivo,3,estar,estar,imperfecto_subjuntivo,Imperfecto de subjuntivo,irregular,ar,no,yo_irregular;pretérito_fuerte,sí,estuviera,estuvieras,estuviera,estuviéramos,estuvieran,
estar__imperativo_afirmativo,3,estar,estar,imperativo_afirmativo,Imperativo afirmativo,irregular,ar,no,yo_irregular;pretérito_fuerte,sí,,está,esté,estemos,estén,
estar__imperativo_negativo,3,estar,estar,imperativo_negativo,Imperativo negativo,irregular,ar,no,yo_irregular;pretérito_fuerte,sí,,no estés,no esté,no estemos,no estén,
ir__presente_indicativo,4,ir,ir,presente_indicativo,Presente,irregular,ir,no,altamente_irregular;imperativo_tú_irregular,sí,voy,vas,va,vamos,van,
ir__preterito,4,ir,ir,preterito,Pretérito,irregular,ir,no,altamente_irregular;imperativo_tú_irregular,sí,fui,fuiste,fue,fuimos,fueron,
ir__imperfecto,4,ir,ir,imperfecto,Imperfecto,irregular,ir,no,altamente_irregular;imperativo_tú_irregular,sí,iba,ibas,iba,íbamos,iban,
ir__futuro,4,ir,ir,futuro,Futuro,regular,ir,no,altamente_irregular;imperativo_tú_irregular,sí,iré,irás,irá,iremos,irán,
ir__condicional,4,ir,ir,condicional,Condicional,regular,ir,no,altamente_irregular;imperativo_tú_irregular,sí,iría,irías,iría,iríamos,irían,
ir__presente_subjuntivo,4,ir,ir,presente_subjuntivo,Presente de subjuntivo,irregular,ir,no,altamente_irregular;imperativo_tú_irregular,sí,vaya,vayas,vaya,vayamos,vayan,
ir__imperfecto_subjuntivo,4,ir,ir,imperfecto_subjuntivo,Imperfecto de subjuntivo,irregular,ir,no,altamente_irregular;imperativo_tú_irregular,sí,fuera,fueras,fuera,fuéramos,fueran,
ir__imperativo_afirmativo,4,ir,ir,imperativo_afirmativo,Imperativo afirmativo,irregular,ir,no,altamente_irregular;imperativo_tú_irregular,sí,,ve,vaya,vayamos,vayan,
ir__imperativo_negativo,4,ir,ir,imperativo_negativo,Imperativo negativo,irregular,ir,no,altamente_irregular;imperativo_tú_irregular,sí,,no vayas,no vaya,no vayamos,no vayan,
tener__presente_indicativo,5,tener,tener,presente_indicativo,Presente,irregular,er,no,e→ie;yo-go;pretérito_fuerte;futuro_irregular;imperativo_tú_irregular,sí,tengo,tienes,tiene,tenemos,tienen,
tener__preterito,5,tener,tener,preterito,Pretérito,irregular,er,no,e→ie;yo-go;pretérito_fuerte;futuro_irregular;imperativo_tú_irregular,sí,tuve,tuviste,tuvo,tuvimos,tuvieron,
tener__imperfecto,5,tener,tener,imperfecto,Imperfecto,regular,er,no,e→ie;yo-go;pretérito_fuerte;futuro_irregular;imperativo_tú_irregular,sí,tenía,tenías,tenía,teníamos,tenían,
tener__futuro,5,tener,tener,futuro,Futuro,irregular,er,no,e→ie;yo-go;pretérito_fuerte;futuro_irregular;imperativo_tú_irregular,sí,tendré,tendrás,tendrá,tendremos,tendrán,
tener__condicional,5,tener,tener,condicional,Condicional,irregular,er,no,e→ie;yo-go;pretérito_fuerte;futuro_irregular;imperativo_tú_irregular,sí,tendría,tendrías,tendría,tendríamos,tendrían,
tener__presente_subjuntivo,5,tener,tener,presente_subjuntivo,Presente de subjuntivo,irregular,er,no,e→ie;yo-go;pretérito_fuerte;futuro_irregular;imperativo_tú_irregular,sí,tenga,tengas,tenga,tengamos,tengan,
tener__imperfecto_subjuntivo,5,tener,tener,imperfecto_subjuntivo,Imperfecto de subjuntivo,irregular,er,no,e→ie;yo-go;pretérito_fuerte;futuro_irregular;imperativo_tú_irregular,sí,tuviera,tuvieras,tuviera,tuviéramos,tuvieran,
tener__imperativo_afirmativo,5,tener,tener,imperativo_afirmativo,Imperativo afirmativo,irregular,er,no,e→ie;yo-go;pretérito_fuerte;futuro_irregular;imperativo_tú_irregular,sí,,ten,tenga,tengamos,tengan,
tener__imperativo_negativo,5,tener,tener,imperativo_negativo,Imperativo negativo,irregular,er,no,e→ie;yo-go;pretérito_fuerte;futuro_irregular;imperativo_tú_irregular,sí,,no tengas,no tenga,no tengamos,no tengan,
haber__presente_indicativo,6,haber,haber,presente_indicativo,Presente,irregular,er,no,altamente_irregular;futuro_irregular,sí,he,has,ha,hemos,han,
haber__preterito,6,haber,haber,preterito,Pretérito,irregular,er,no,altamente_irregular;futuro_irregular,sí,hube,hubiste,hubo,hubimos,hubieron,
haber__imperfecto,6,haber,haber,imperfecto,Imperfecto,regular,er,no,altamente_irregular;futuro_irregular,sí,había,habías,había,habíamos,habían,
haber__futuro,6,haber,haber,futuro,Futuro,irregular,er,no,altamente_irregular;futuro_irregular,sí,habré,habrás,habrá,habremos,habrán,
haber__condicional,6,haber,haber,condicional,Condicional,irregular,er,no,altamente_irregular;futuro_irregular,sí,habría,habrías,habría,habríamos,habrían,
haber__presente_subjuntivo,6,haber,haber,presente_subjuntivo,Presente de subjuntivo,irregular,er,no,altamente_irregular;futuro_irregular,sí,haya,hayas,haya,hayamos,hayan,
haber__imperfecto_subjuntivo,6,haber,haber,imperfecto_subjuntivo,Imperfecto de subjuntivo,irregular,er,no,altamente_irregular;futuro_irregular,sí,hubiera,hubieras,hubiera,hubiéramos,hubieran,
haber__imperativo_afirmativo,6,haber,haber,imperativo_afirmativo,Imperativo afirmativo,irregular,er,no,altamente_irregular;futuro_irregular,no,,,,,,Imperative use is rare/marginal; included only to test non-applicable-card handling.
haber__imperativo_negativo,6,haber,haber,imperativo_negativo,Imperativo negativo,irregular,er,no,altamente_irregular;futuro_irregular,no,,,,,,Imperative use is rare/marginal; included only to test non-applicable-card handling.
ver__presente_indicativo,7,ver,ver,presente_indicativo,Presente,irregular,er,no,yo_irregular;pretérito_irregular;imperfecto_irregular,sí,veo,ves,ve,vemos,ven,
ver__preterito,7,ver,ver,preterito,Pretérito,irregular,er,no,yo_irregular;pretérito_irregular;imperfecto_irregular,sí,vi,viste,vio,vimos,vieron,
ver__imperfecto,7,ver,ver,imperfecto,Imperfecto,irregular,er,no,yo_irregular;pretérito_irregular;imperfecto_irregular,sí,veía,veías,veía,veíamos,veían,
ver__futuro,7,ver,ver,futuro,Futuro,regular,er,no,yo_irregular;pretérito_irregular;imperfecto_irregular,sí,veré,verás,verá,veremos,verán,
ver__condicional,7,ver,ver,condicional,Condicional,regular,er,no,yo_irregular;pretérito_irregular;imperfecto_irregular,sí,vería,verías,vería,veríamos,verían,
ver__presente_subjuntivo,7,ver,ver,presente_subjuntivo,Presente de subjuntivo,irregular,er,no,yo_irregular;pretérito_irregular;imperfecto_irregular,sí,vea,veas,vea,veamos,vean,
ver__imperfecto_subjuntivo,7,ver,ver,imperfecto_subjuntivo,Imperfecto de subjuntivo,irregular,er,no,yo_irregular;pretérito_irregular;imperfecto_irregular,sí,viera,vieras,viera,viéramos,vieran,
ver__imperativo_afirmativo,7,ver,ver,imperativo_afirmativo,Imperativo afirmativo,irregular,er,no,yo_irregular;pretérito_irregular;imperfecto_irregular,sí,,ve,vea,veamos,vean,
ver__imperativo_negativo,7,ver,ver,imperativo_negativo,Imperativo negativo,irregular,er,no,yo_irregular;pretérito_irregular;imperfecto_irregular,sí,,no veas,no vea,no veamos,no vean,
saber__presente_indicativo,8,saber,saber,presente_indicativo,Presente,irregular,er,no,yo_irregular;pretérito_fuerte;futuro_irregular,sí,sé,sabes,sabe,sabemos,saben,
saber__preterito,8,saber,saber,preterito,Pretérito,irregular,er,no,yo_irregular;pretérito_fuerte;futuro_irregular,sí,supe,supiste,supo,supimos,supieron,
saber__imperfecto,8,saber,saber,imperfecto,Imperfecto,regular,er,no,yo_irregular;pretérito_fuerte;futuro_irregular,sí,sabía,sabías,sabía,sabíamos,sabían,
saber__futuro,8,saber,saber,futuro,Futuro,irregular,er,no,yo_irregular;pretérito_fuerte;futuro_irregular,sí,sabré,sabrás,sabrá,sabremos,sabrán,
saber__condicional,8,saber,saber,condicional,Condicional,irregular,er,no,yo_irregular;pretérito_fuerte;futuro_irregular,sí,sabría,sabrías,sabría,sabríamos,sabrían,
saber__presente_subjuntivo,8,saber,saber,presente_subjuntivo,Presente de subjuntivo,irregular,er,no,yo_irregular;pretérito_fuerte;futuro_irregular,sí,sepa,sepas,sepa,sepamos,sepan,
saber__imperfecto_subjuntivo,8,saber,saber,imperfecto_subjuntivo,Imperfecto de subjuntivo,irregular,er,no,yo_irregular;pretérito_fuerte;futuro_irregular,sí,supiera,supieras,supiera,supiéramos,supieran,
saber__imperativo_afirmativo,8,saber,saber,imperativo_afirmativo,Imperativo afirmativo,irregular,er,no,yo_irregular;pretérito_fuerte;futuro_irregular,sí,,sabe,sepa,sepamos,sepan,
saber__imperativo_negativo,8,saber,saber,imperativo_negativo,Imperativo negativo,irregular,er,no,yo_irregular;pretérito_fuerte;futuro_irregular,sí,,no sepas,no sepa,no sepamos,no sepan,
hacer__presente_indicativo,9,hacer,hacer,presente_indicativo,Presente,irregular,er,no,yo-go;pretérito_fuerte;futuro_irregular;imperativo_tú_irregular,sí,hago,haces,hace,hacemos,hacen,
hacer__preterito,9,hacer,hacer,preterito,Pretérito,irregular,er,no,yo-go;pretérito_fuerte;futuro_irregular;imperativo_tú_irregular,sí,hice,hiciste,hizo,hicimos,hicieron,
hacer__imperfecto,9,hacer,hacer,imperfecto,Imperfecto,regular,er,no,yo-go;pretérito_fuerte;futuro_irregular;imperativo_tú_irregular,sí,hacía,hacías,hacía,hacíamos,hacían,
hacer__futuro,9,hacer,hacer,futuro,Futuro,irregular,er,no,yo-go;pretérito_fuerte;futuro_irregular;imperativo_tú_irregular,sí,haré,harás,hará,haremos,harán,
hacer__condicional,9,hacer,hacer,condicional,Condicional,irregular,er,no,yo-go;pretérito_fuerte;futuro_irregular;imperativo_tú_irregular,sí,haría,harías,haría,haríamos,harían,
hacer__presente_subjuntivo,9,hacer,hacer,presente_subjuntivo,Presente de subjuntivo,irregular,er,no,yo-go;pretérito_fuerte;futuro_irregular;imperativo_tú_irregular,sí,haga,hagas,haga,hagamos,hagan,
hacer__imperfecto_subjuntivo,9,hacer,hacer,imperfecto_subjuntivo,Imperfecto de subjuntivo,irregular,er,no,yo-go;pretérito_fuerte;futuro_irregular;imperativo_tú_irregular,sí,hiciera,hicieras,hiciera,hiciéramos,hicieran,
hacer__imperativo_afirmativo,9,hacer,hacer,imperativo_afirmativo,Imperativo afirmativo,irregular,er,no,yo-go;pretérito_fuerte;futuro_irregular;imperativo_tú_irregular,sí,,haz,haga,hagamos,hagan,
hacer__imperativo_negativo,9,hacer,hacer,imperativo_negativo,Imperativo negativo,irregular,er,no,yo-go;pretérito_fuerte;futuro_irregular;imperativo_tú_irregular,sí,,no hagas,no haga,no hagamos,no hagan,
querer__presente_indicativo,10,querer,querer,presente_indicativo,Presente,irregular,er,no,e→ie;pretérito_fuerte;futuro_irregular,sí,quiero,quieres,quiere,queremos,quieren,
querer__preterito,10,querer,querer,preterito,Pretérito,irregular,er,no,e→ie;pretérito_fuerte;futuro_irregular,sí,quise,quisiste,quiso,quisimos,quisieron,
querer__imperfecto,10,querer,querer,imperfecto,Imperfecto,regular,er,no,e→ie;pretérito_fuerte;futuro_irregular,sí,quería,querías,quería,queríamos,querían,
querer__futuro,10,querer,querer,futuro,Futuro,irregular,er,no,e→ie;pretérito_fuerte;futuro_irregular,sí,querré,querrás,querrá,querremos,querrán,
querer__condicional,10,querer,querer,condicional,Condicional,irregular,er,no,e→ie;pretérito_fuerte;futuro_irregular,sí,querría,querrías,querría,querríamos,querrían,
querer__presente_subjuntivo,10,querer,querer,presente_subjuntivo,Presente de subjuntivo,irregular,er,no,e→ie;pretérito_fuerte;futuro_irregular,sí,quiera,quieras,quiera,queramos,quieran,
querer__imperfecto_subjuntivo,10,querer,querer,imperfecto_subjuntivo,Imperfecto de subjuntivo,irregular,er,no,e→ie;pretérito_fuerte;futuro_irregular,sí,quisiera,quisieras,quisiera,quisiéramos,quisieran,
querer__imperativo_afirmativo,10,querer,querer,imperativo_afirmativo,Imperativo afirmativo,irregular,er,no,e→ie;pretérito_fuerte;futuro_irregular,sí,,quiere,quiera,queramos,quieran,
querer__imperativo_negativo,10,querer,querer,imperativo_negativo,Imperativo negativo,irregular,er,no,e→ie;pretérito_fuerte;futuro_irregular,sí,,no quieras,no quiera,no queramos,no quieran,
dar__presente_indicativo,11,dar,dar,presente_indicativo,Presente,irregular,ar,no,yo_irregular;pretérito_irregular,sí,doy,das,da,damos,dan,
dar__preterito,11,dar,dar,preterito,Pretérito,irregular,ar,no,yo_irregular;pretérito_irregular,sí,di,diste,dio,dimos,dieron,
dar__imperfecto,11,dar,dar,imperfecto,Imperfecto,regular,ar,no,yo_irregular;pretérito_irregular,sí,daba,dabas,daba,dábamos,daban,
dar__futuro,11,dar,dar,futuro,Futuro,regular,ar,no,yo_irregular;pretérito_irregular,sí,daré,darás,dará,daremos,darán,
dar__condicional,11,dar,dar,condicional,Condicional,regular,ar,no,yo_irregular;pretérito_irregular,sí,daría,darías,daría,daríamos,darían,
dar__presente_subjuntivo,11,dar,dar,presente_subjuntivo,Presente de subjuntivo,irregular,ar,no,yo_irregular;pretérito_irregular,sí,dé,des,dé,demos,den,
dar__imperfecto_subjuntivo,11,dar,dar,imperfecto_subjuntivo,Imperfecto de subjuntivo,irregular,ar,no,yo_irregular;pretérito_irregular,sí,diera,dieras,diera,diéramos,dieran,
dar__imperativo_afirmativo,11,dar,dar,imperativo_afirmativo,Imperativo afirmativo,irregular,ar,no,yo_irregular;pretérito_irregular,sí,,da,dé,demos,den,
dar__imperativo_negativo,11,dar,dar,imperativo_negativo,Imperativo negativo,irregular,ar,no,yo_irregular;pretérito_irregular,sí,,no des,no dé,no demos,no den,
poder__presente_indicativo,13,poder,poder,presente_indicativo,Presente,irregular,er,no,o→ue;pretérito_fuerte;futuro_irregular,sí,puedo,puedes,puede,podemos,pueden,
poder__preterito,13,poder,poder,preterito,Pretérito,irregular,er,no,o→ue;pretérito_fuerte;futuro_irregular,sí,pude,pudiste,pudo,pudimos,pudieron,
poder__imperfecto,13,poder,poder,imperfecto,Imperfecto,regular,er,no,o→ue;pretérito_fuerte;futuro_irregular,sí,podía,podías,podía,podíamos,podían,
poder__futuro,13,poder,poder,futuro,Futuro,irregular,er,no,o→ue;pretérito_fuerte;futuro_irregular,sí,podré,podrás,podrá,podremos,podrán,
poder__condicional,13,poder,poder,condicional,Condicional,irregular,er,no,o→ue;pretérito_fuerte;futuro_irregular,sí,podría,podrías,podría,podríamos,podrían,
poder__presente_subjuntivo,13,poder,poder,presente_subjuntivo,Presente de subjuntivo,irregular,er,no,o→ue;pretérito_fuerte;futuro_irregular,sí,pueda,puedas,pueda,podamos,puedan,
poder__imperfecto_subjuntivo,13,poder,poder,imperfecto_subjuntivo,Imperfecto de subjuntivo,irregular,er,no,o→ue;pretérito_fuerte;futuro_irregular,sí,pudiera,pudieras,pudiera,pudiéramos,pudieran,
poder__imperativo_afirmativo,13,poder,poder,imperativo_afirmativo,Imperativo afirmativo,irregular,er,no,o→ue;pretérito_fuerte;futuro_irregular,sí,,puede,pueda,podamos,puedan,
poder__imperativo_negativo,13,poder,poder,imperativo_negativo,Imperativo negativo,irregular,er,no,o→ue;pretérito_fuerte;futuro_irregular,sí,,no puedas,no pueda,no podamos,no puedan,
venir__presente_indicativo,15,venir,venir,presente_indicativo,Presente,irregular,ir,no,e→ie;yo-go;pretérito_fuerte;futuro_irregular;imperativo_tú_irregular,sí,vengo,vienes,viene,venimos,vienen,
venir__preterito,15,venir,venir,preterito,Pretérito,irregular,ir,no,e→ie;yo-go;pretérito_fuerte;futuro_irregular;imperativo_tú_irregular,sí,vine,viniste,vino,vinimos,vinieron,
venir__imperfecto,15,venir,venir,imperfecto,Imperfecto,regular,ir,no,e→ie;yo-go;pretérito_fuerte;futuro_irregular;imperativo_tú_irregular,sí,venía,venías,venía,veníamos,venían,
venir__futuro,15,venir,venir,futuro,Futuro,irregular,ir,no,e→ie;yo-go;pretérito_fuerte;futuro_irregular;imperativo_tú_irregular,sí,vendré,vendrás,vendrá,vendremos,vendrán,
venir__condicional,15,venir,venir,condicional,Condicional,irregular,ir,no,e→ie;yo-go;pretérito_fuerte;futuro_irregular;imperativo_tú_irregular,sí,vendría,vendrías,vendría,vendríamos,vendrían,
venir__presente_subjuntivo,15,venir,venir,presente_subjuntivo,Presente de subjuntivo,irregular,ir,no,e→ie;yo-go;pretérito_fuerte;futuro_irregular;imperativo_tú_irregular,sí,venga,vengas,venga,vengamos,vengan,
venir__imperfecto_subjuntivo,15,venir,venir,imperfecto_subjuntivo,Imperfecto de subjuntivo,irregular,ir,no,e→ie;yo-go;pretérito_fuerte;futuro_irregular;imperativo_tú_irregular,sí,viniera,vinieras,viniera,viniéramos,vinieran,
venir__imperativo_afirmativo,15,venir,venir,imperativo_afirmativo,Imperativo afirmativo,irregular,ir,no,e→ie;yo-go;pretérito_fuerte;futuro_irregular;imperativo_tú_irregular,sí,,ven,venga,vengamos,vengan,
venir__imperativo_negativo,15,venir,venir,imperativo_negativo,Imperativo negativo,irregular,ir,no,e→ie;yo-go;pretérito_fuerte;futuro_irregular;imperativo_tú_irregular,sí,,no vengas,no venga,no vengamos,no vengan,
irse__presente_indicativo,17,irse,ir,presente_indicativo,Presente,irregular,ir,sí,altamente_irregular;imperativo_tú_irregular;pronominal,sí,me voy,te vas,se va,nos vamos,se van,
irse__preterito,17,irse,ir,preterito,Pretérito,irregular,ir,sí,altamente_irregular;imperativo_tú_irregular;pronominal,sí,me fui,te fuiste,se fue,nos fuimos,se fueron,
irse__imperfecto,17,irse,ir,imperfecto,Imperfecto,irregular,ir,sí,altamente_irregular;imperativo_tú_irregular;pronominal,sí,me iba,te ibas,se iba,nos íbamos,se iban,
irse__futuro,17,irse,ir,futuro,Futuro,regular,ir,sí,altamente_irregular;imperativo_tú_irregular;pronominal,sí,me iré,te irás,se irá,nos iremos,se irán,
irse__condicional,17,irse,ir,condicional,Condicional,regular,ir,sí,altamente_irregular;imperativo_tú_irregular;pronominal,sí,me iría,te irías,se iría,nos iríamos,se irían,
irse__presente_subjuntivo,17,irse,ir,presente_subjuntivo,Presente de subjuntivo,irregular,ir,sí,altamente_irregular;imperativo_tú_irregular;pronominal,sí,me vaya,te vayas,se vaya,nos vayamos,se vayan,
irse__imperfecto_subjuntivo,17,irse,ir,imperfecto_subjuntivo,Imperfecto de subjuntivo,irregular,ir,sí,altamente_irregular;imperativo_tú_irregular;pronominal,sí,me fuera,te fueras,se fuera,nos fuéramos,se fueran,
irse__imperativo_afirmativo,17,irse,ir,imperativo_afirmativo,Imperativo afirmativo,irregular,ir,sí,altamente_irregular;imperativo_tú_irregular;pronominal,sí,,vete,váyase,vámonos,váyanse,
irse__imperativo_negativo,17,irse,ir,imperativo_negativo,Imperativo negativo,irregular,ir,sí,altamente_irregular;imperativo_tú_irregular;pronominal,sí,,no te vayas,no se vaya,no nos vayamos,no se vayan,
salir__presente_indicativo,18,salir,salir,presente_indicativo,Presente,irregular,ir,no,yo-go;futuro_irregular;imperativo_tú_irregular,sí,salgo,sales,sale,salimos,salen,
salir__preterito,18,salir,salir,preterito,Pretérito,regular,ir,no,yo-go;futuro_irregular;imperativo_tú_irregular,sí,salí,saliste,salió,salimos,salieron,
salir__imperfecto,18,salir,salir,imperfecto,Imperfecto,regular,ir,no,yo-go;futuro_irregular;imperativo_tú_irregular,sí,salía,salías,salía,salíamos,salían,
salir__futuro,18,salir,salir,futuro,Futuro,irregular,ir,no,yo-go;futuro_irregular;imperativo_tú_irregular,sí,saldré,saldrás,saldrá,saldremos,saldrán,
salir__condicional,18,salir,salir,condicional,Condicional,irregular,ir,no,yo-go;futuro_irregular;imperativo_tú_irregular,sí,saldría,saldrías,saldría,saldríamos,saldrían,
salir__presente_subjuntivo,18,salir,salir,presente_subjuntivo,Presente de subjuntivo,irregular,ir,no,yo-go;futuro_irregular;imperativo_tú_irregular,sí,salga,salgas,salga,salgamos,salgan,
salir__imperfecto_subjuntivo,18,salir,salir,imperfecto_subjuntivo,Imperfecto de subjuntivo,regular,ir,no,yo-go;futuro_irregular;imperativo_tú_irregular,sí,saliera,salieras,saliera,saliéramos,salieran,
salir__imperativo_afirmativo,18,salir,salir,imperativo_afirmativo,Imperativo afirmativo,irregular,ir,no,yo-go;futuro_irregular;imperativo_tú_irregular,sí,,sal,salga,salgamos,salgan,
salir__imperativo_negativo,18,salir,salir,imperativo_negativo,Imperativo negativo,irregular,ir,no,yo-go;futuro_irregular;imperativo_tú_irregular,sí,,no salgas,no salga,no salgamos,no salgan,
poner__presente_indicativo,19,poner,poner,presente_indicativo,Presente,irregular,er,no,yo-go;pretérito_fuerte;futuro_irregular;imperativo_tú_irregular,sí,pongo,pones,pone,ponemos,ponen,
poner__preterito,19,poner,poner,preterito,Pretérito,irregular,er,no,yo-go;pretérito_fuerte;futuro_irregular;imperativo_tú_irregular,sí,puse,pusiste,puso,pusimos,pusieron,
poner__imperfecto,19,poner,poner,imperfecto,Imperfecto,regular,er,no,yo-go;pretérito_fuerte;futuro_irregular;imperativo_tú_irregular,sí,ponía,ponías,ponía,poníamos,ponían,
poner__futuro,19,poner,poner,futuro,Futuro,irregular,er,no,yo-go;pretérito_fuerte;futuro_irregular;imperativo_tú_irregular,sí,pondré,pondrás,pondrá,pondremos,pondrán,
poner__condicional,19,poner,poner,condicional,Condicional,irregular,er,no,yo-go;pretérito_fuerte;futuro_irregular;imperativo_tú_irregular,sí,pondría,pondrías,pondría,pondríamos,pondrían,
poner__presente_subjuntivo,19,poner,poner,presente_subjuntivo,Presente de subjuntivo,irregular,er,no,yo-go;pretérito_fuerte;futuro_irregular;imperativo_tú_irregular,sí,ponga,pongas,ponga,pongamos,pongan,
poner__imperfecto_subjuntivo,19,poner,poner,imperfecto_subjuntivo,Imperfecto de subjuntivo,irregular,er,no,yo-go;pretérito_fuerte;futuro_irregular;imperativo_tú_irregular,sí,pusiera,pusieras,pusiera,pusiéramos,pusieran,
poner__imperativo_afirmativo,19,poner,poner,imperativo_afirmativo,Imperativo afirmativo,irregular,er,no,yo-go;pretérito_fuerte;futuro_irregular;imperativo_tú_irregular,sí,,pon,ponga,pongamos,pongan,
poner__imperativo_negativo,19,poner,poner,imperativo_negativo,Imperativo negativo,irregular,er,no,yo-go;pretérito_fuerte;futuro_irregular;imperativo_tú_irregular,sí,,no pongas,no ponga,no pongamos,no pongan,
llegar__presente_indicativo,20,llegar,llegar,presente_indicativo,Presente,regular,ar,no,-gar,sí,llego,llegas,llega,llegamos,llegan,
llegar__preterito,20,llegar,llegar,preterito,Pretérito,ortografico,ar,no,-gar,sí,llegué,llegaste,llegó,llegamos,llegaron,
llegar__imperfecto,20,llegar,llegar,imperfecto,Imperfecto,regular,ar,no,-gar,sí,llegaba,llegabas,llegaba,llegábamos,llegaban,
llegar__futuro,20,llegar,llegar,futuro,Futuro,regular,ar,no,-gar,sí,llegaré,llegarás,llegará,llegaremos,llegarán,
llegar__condicional,20,llegar,llegar,condicional,Condicional,regular,ar,no,-gar,sí,llegaría,llegarías,llegaría,llegaríamos,llegarían,
llegar__presente_subjuntivo,20,llegar,llegar,presente_subjuntivo,Presente de subjuntivo,ortografico,ar,no,-gar,sí,llegue,llegues,llegue,lleguemos,lleguen,
